1,이트론,11,3,-21.43%,"67,752,763",783,11,12,100,0.55,-2.85
2,빌리언스,450,18,-3.85%,"27,413,457","13,589",452,453,183,-8.18,-10.32
3,현대무벡스,"5,880","1,225",+26.32%,"23,694,889","136,899","5,880","5,890","6,549",26.73,16.17
4,크레오에스지,447,82,+22.47%,"20,208,131","8,527",450,452,864,-5.02,-29.01
5,러셀,"2,380",315,+15.25%,"18,105,916","43,594","2,325","2,330",757,-340.00,8.06
6,유니슨,"1,256",209,+19.96%,"17,853,608","21,893","1,262","1,263","2,144",-11.85,-36.03
7,이화전기,81,13,-13.83%,"17,046,630","1,415",80,81,177,1.65,-5.83
8,태웅로직스,"3,380",355,+11.74%,"13,882,560","48,479","3,460","3,465","1,343",6.40,12.68
9,일승,"6,170",200,+3.35%,"10,777,759","69,307","6,110","6,120","1,896",37.62,4.57
10,스맥,"3,875",125,+3.33%,"10,416,359","40,985","3,895","3,900","2,644",24.22,18.73
11,동방선기,"4,630",145,+3.23%,"9,269,286","44,529","4,645","4,655",648,11.02,15.71
12,다날,"8,500",140,-1.62%,"8,634,969","73,306","8,450","8,460","5,861",-72.65,2.46
13,코닉오토메이션,"2,310",80,+3.59%,"8,295,215","19,898","2,330","2,335",972,-67.94,3.92
14,디에이치엑스컴퍼니,"1,007",117,+13.15%,"8,026,337","8,756","1,008","1,009",173,-0.67,-32.48
15,삼화네트웍스,"1,519",46,+3.12%,"7,969,290","12,640","1,527","1,528",656,-18.99,3.25
16,오리엔탈정공,"7,920",550,+7.46%,"7,814,743","63,577","7,880","7,890","3,609",13.73,26.45
17,KD,661,35,+5.59%,"7,698,645","5,281",637,638,177,-1.46,12.56
18,동일스틸럭스,"1,535",16,+1.05%,"7,186,836","11,940","1,564","1,565",401,-4.83,-28.53
19,케이에스피,"5,580",300,+5.68%,"7,093,423","40,641","5,510","5,520","2,243",19.24,25.99
20,성호전자,"1,060",33,+3.21%,"6,607,473","7,569","1,068","1,069",752,-8.76,6.54
21,썸에이지,559,19,-3.29%,"6,264,366","3,574",559,560,778,-9.81,-28.33
22,뉴로핏,"12,720","2,420",+23.50%,"6,232,687","75,715","12,720","12,750","1,470",-7.50,34.38
23,조아제약,"1,169",157,+15.51%,"6,222,267","7,473","1,163","1,167",362,-3.59,-26.54
24,올릭스,"76,400","상한가17,600",+29.93%,"6,027,829","432,115","76,400",0,"15,362",-30.91,-120.11
