순번,매장명,지역명,주소,전화
1,국립부경대청운관점,부산 남구,부산광역시 남구 용소로 45 (대연동  국립부경대학교대연캠퍼스) 청운관 1층,051-629-7419
2,이천점,경기 이천시,경기도 이천시 어재연로 35  1~3층 (창전동 160-25),031-635-6655
3,(하)정안알밤휴게소점,충남 공주시,충청남도 공주시 정안면 논산천안고속도로 57 (정안하행휴게소) ,
4,(상)정안알밤휴게소점,충남 공주시,충청남도 공주시 정안면 논산천안고속도로 58 (정안상행휴게소) ,
5,제주곽지해수욕장점,제주 제주시,제주특별자치도 제주시 애월읍 곽지3길 27-1 2~3층,064-799-1137
6,신대방삼거리역점,서울 동작구,서울특별시 동작구 상도로 60 (대방동) 1층~2층,02-823-2377
7,대전삼부스포렉스점,대전 중구,대전광역시 중구 태평로 83  삼부스포렉스 1층 (태평동 408-11) ,042-301-9960
8,익산부송점,전북 익산시,전라북도 익산시 하나로10길 70-1 (부송동  레스트빌딩 1층) ,063-832-1717
9,진해속천점,경남 창원시 진해구,경상남도 창원시 진해구 태평로 132 (속천동) 2~3층,070-7786-1019
10,여의도포스트타워점,서울 영등포구,서울특별시 영등포구 여의나루로 60 포스트타워 여의도 1층,02-2135-5321
11,대림역점,서울 영등포구,서울특별시 영등포구 도림로 140 대림빌딩 101호,02-834-1000
12,대천비치점,충남 보령시,충청남도 보령시 해수욕장4길 12 (신흑동) ,070-4146-0406
13,부산동래온천점,부산 동래구,부산광역시 동래구 금강로 116 (온천동) 금강메디컬타워 1층,051-923-5538
14,충정로역점,서울 서대문구,서울특별시 서대문구 경기대로 26-26 어바니엘충정로 201동 지하1층 102호,02-363-0807
15,부산고신대의과대학점,부산 사하구,부산광역시 서구 감천로 262 고신의대 강의동 1층,051-710-7565
16,대구수성못DI점,대구 수성구,대구광역시 수성구 용학로 62 1~2층,053-761-7186
17,경상국립대학생회관점,경남 진주시,경상남도 진주시 진주대로 501 경상국립대 학생회관 1층,055-772-0931
18,서서울공원점,서울 양천구,서울특별시 양천구 남부순환로58길 37 신월동 205-36,070-4277-6756
19,AK&세종점,세종 세종시,세종특별자치시 한누리대로 411 KT&G 세종타워A,044-960-5377
20,일산장항점,경기 고양시 일산동구,경기도 고양시 일산동구 중앙로1275번길 56 (장항동  루비튜스데이) 1~2층,031-903-9991
21,전북대 후생관점,전북 전주시 덕진구,전북특별자치도 전주시 덕진구 백제대로 567 후생관 1층,063-270-2174
22,전북대 진수당점,전북 전주시 덕진구,전북 전주시 덕진구 백제대로 567 (전북대 진수당 연구동 1층) ,063-270-4350
23,전북대 중도라운지점,전북 전주시 덕진구,전북 전주시 덕진구 백제대로 567 중앙도서관 1층,
24,경희대 청운관점,서울 동대문구,서울 동대문구 경희대로 26 청운관 지하1층,
25,덕성여대점,서울 강북구,서울시 강북구 삼양로 547 1~3층,02-6093-0011
26,전주백제대로점,전북 전주시 덕진구,전라북도 전주시 덕진구 백제대로 592 (금암동) 1층,063-271-5056
